sample,response,population,percentage
sample03183,yes,cd8_t_cell,24.33
sample03184,yes,cd8_t_cell,24.7
sample03185,yes,cd8_t_cell,20.03
sample03195,yes,cd8_t_cell,24.4
sample03196,yes,cd8_t_cell,23.13
sample03197,yes,cd8_t_cell,25.66
sample03246,yes,cd8_t_cell,28.36
sample03247,yes,cd8_t_cell,20.27
sample03248,yes,cd8_t_cell,29.89
sample03264,yes,cd8_t_cell,14.2
sample03265,yes,cd8_t_cell,22.29
sample03266,yes,cd8_t_cell,26.33
sample03267,yes,cd8_t_cell,25.29
sample03268,yes,cd8_t_cell,32.69
sample03269,yes,cd8_t_cell,36.15
sample03273,yes,cd8_t_cell,23.16
sample03274,yes,cd8_t_cell,25.83
sample03275,yes,cd8_t_cell,17.68
sample03285,yes,cd8_t_cell,19.79
sample03286,yes,cd8_t_cell,25.61
sample03287,yes,cd8_t_cell,25.36
sample03297,yes,cd8_t_cell,25.63
sample03298,yes,cd8_t_cell,39.85
sample03299,yes,cd8_t_cell,18.87
sample03303,yes,cd8_t_cell,23.18
sample03304,yes,cd8_t_cell,23.96
sample03305,yes,cd8_t_cell,17.9
sample03375,yes,cd8_t_cell,21.27
sample03376,yes,cd8_t_cell,24.88
sample03377,yes,cd8_t_cell,29.88
sample03381,yes,cd8_t_cell,23.24
sample03382,yes,cd8_t_cell,24.63
sample03383,yes,cd8_t_cell,20.26
sample03405,yes,cd8_t_cell,29.51
sample03406,yes,cd8_t_cell,19.0
sample03407,yes,cd8_t_cell,28.93
sample03453,yes,cd8_t_cell,23.74
sample03454,yes,cd8_t_cell,25.89
sample03455,yes,cd8_t_cell,24.0
sample03465,yes,cd8_t_cell,31.49
sample03466,yes,cd8_t_cell,33.22
sample03467,yes,cd8_t_cell,18.32
sample03486,yes,cd8_t_cell,23.23
sample03487,yes,cd8_t_cell,29.56
sample03488,yes,cd8_t_cell,19.66
sample03492,yes,cd8_t_cell,25.79
sample03493,yes,cd8_t_cell,22.8
sample03494,yes,cd8_t_cell,24.07
sample03531,yes,cd8_t_cell,21.71
sample03532,yes,cd8_t_cell,19.18
sample03533,yes,cd8_t_cell,19.68
sample03576,yes,cd8_t_cell,22.31
sample03577,yes,cd8_t_cell,15.33
sample03578,yes,cd8_t_cell,26.92
sample03588,yes,cd8_t_cell,24.93
sample03589,yes,cd8_t_cell,32.47
sample03590,yes,cd8_t_cell,29.92
sample03591,yes,cd8_t_cell,17.54
sample03592,yes,cd8_t_cell,27.92
sample03593,yes,cd8_t_cell,24.78
sample03621,yes,cd8_t_cell,20.41
sample03622,yes,cd8_t_cell,29.35
sample03623,yes,cd8_t_cell,17.38
sample03624,yes,cd8_t_cell,16.6
sample03625,yes,cd8_t_cell,22.27
sample03626,yes,cd8_t_cell,27.18
sample03747,yes,cd8_t_cell,30.53
sample03748,yes,cd8_t_cell,20.85
sample03749,yes,cd8_t_cell,20.95
sample03765,yes,cd8_t_cell,28.44
sample03766,yes,cd8_t_cell,25.49
sample03767,yes,cd8_t_cell,27.19
sample03789,yes,cd8_t_cell,27.91
sample03790,yes,cd8_t_cell,28.17
sample03791,yes,cd8_t_cell,25.31
sample03804,yes,cd8_t_cell,22.71
sample03805,yes,cd8_t_cell,30.9
sample03806,yes,cd8_t_cell,23.39
sample03819,yes,cd8_t_cell,26.03
sample03820,yes,cd8_t_cell,12.26
sample03821,yes,cd8_t_cell,24.62
sample03846,yes,cd8_t_cell,28.41
sample03847,yes,cd8_t_cell,25.93
sample03848,yes,cd8_t_cell,24.89
sample03852,yes,cd8_t_cell,26.52
sample03853,yes,cd8_t_cell,28.39
sample03854,yes,cd8_t_cell,20.85
sample03861,yes,cd8_t_cell,33.21
sample03862,yes,cd8_t_cell,20.73
sample03863,yes,cd8_t_cell,34.83
sample03885,yes,cd8_t_cell,20.43
sample03886,yes,cd8_t_cell,29.46
sample03887,yes,cd8_t_cell,26.34
sample03936,yes,cd8_t_cell,19.28
sample03937,yes,cd8_t_cell,22.02
sample03938,yes,cd8_t_cell,26.38
sample03942,yes,cd8_t_cell,34.3
sample03943,yes,cd8_t_cell,27.15
sample03944,yes,cd8_t_cell,22.6
sample03951,yes,cd8_t_cell,19.84
sample03952,yes,cd8_t_cell,29.19
sample03953,yes,cd8_t_cell,22.89
sample03963,yes,cd8_t_cell,23.11
sample03964,yes,cd8_t_cell,24.16
sample03965,yes,cd8_t_cell,23.55
sample03981,yes,cd8_t_cell,26.51
sample03982,yes,cd8_t_cell,29.74
sample03983,yes,cd8_t_cell,22.63
sample04014,yes,cd8_t_cell,38.26
sample04015,yes,cd8_t_cell,25.63
sample04016,yes,cd8_t_cell,30.7
sample04035,yes,cd8_t_cell,39.4
sample04036,yes,cd8_t_cell,23.89
sample04037,yes,cd8_t_cell,22.72
sample04047,yes,cd8_t_cell,24.4
sample04048,yes,cd8_t_cell,30.06
sample04049,yes,cd8_t_cell,28.37
sample04068,yes,cd8_t_cell,23.02
sample04069,yes,cd8_t_cell,29.39
sample04070,yes,cd8_t_cell,27.9
sample04128,yes,cd8_t_cell,26.4
sample04129,yes,cd8_t_cell,24.93
sample04130,yes,cd8_t_cell,26.36
sample04155,yes,cd8_t_cell,27.22
sample04156,yes,cd8_t_cell,22.07
sample04157,yes,cd8_t_cell,31.58
sample04170,yes,cd8_t_cell,34.86
sample04171,yes,cd8_t_cell,20.7
sample04172,yes,cd8_t_cell,26.71
sample04173,yes,cd8_t_cell,22.56
sample04174,yes,cd8_t_cell,21.88
sample04175,yes,cd8_t_cell,20.91
sample04188,yes,cd8_t_cell,27.55
sample04189,yes,cd8_t_cell,31.13
sample04190,yes,cd8_t_cell,18.87
sample04203,yes,cd8_t_cell,18.82
sample04204,yes,cd8_t_cell,35.95
sample04205,yes,cd8_t_cell,21.17
sample04224,yes,cd8_t_cell,22.04
sample04225,yes,cd8_t_cell,27.93
sample04226,yes,cd8_t_cell,35.97
sample04266,yes,cd8_t_cell,21.85
sample04267,yes,cd8_t_cell,29.91
sample04268,yes,cd8_t_cell,20.04
sample04284,yes,cd8_t_cell,34.07
sample04285,yes,cd8_t_cell,29.8
sample04286,yes,cd8_t_cell,28.47
sample04293,yes,cd8_t_cell,23.12
sample04294,yes,cd8_t_cell,22.84
sample04295,yes,cd8_t_cell,25.88
sample04296,yes,cd8_t_cell,29.62
sample04297,yes,cd8_t_cell,12.49
sample04298,yes,cd8_t_cell,20.79
sample04302,yes,cd8_t_cell,21.15
sample04303,yes,cd8_t_cell,26.08
sample04304,yes,cd8_t_cell,23.63
sample04347,yes,cd8_t_cell,24.19
sample04348,yes,cd8_t_cell,20.9
sample04349,yes,cd8_t_cell,18.26
sample04368,yes,cd8_t_cell,20.73
sample04369,yes,cd8_t_cell,28.28
sample04370,yes,cd8_t_cell,27.71
sample04377,yes,cd8_t_cell,27.43
sample04378,yes,cd8_t_cell,21.45
sample04379,yes,cd8_t_cell,18.31
sample04434,yes,cd8_t_cell,29.48
sample04435,yes,cd8_t_cell,22.06
sample04436,yes,cd8_t_cell,23.88
sample04461,yes,cd8_t_cell,20.96
sample04462,yes,cd8_t_cell,15.97
sample04463,yes,cd8_t_cell,34.47
sample04491,yes,cd8_t_cell,24.68
sample04492,yes,cd8_t_cell,28.86
sample04493,yes,cd8_t_cell,22.55
sample07506,yes,cd8_t_cell,23.71
sample07507,yes,cd8_t_cell,26.22
sample07508,yes,cd8_t_cell,27.72
sample07527,yes,cd8_t_cell,23.56
sample07528,yes,cd8_t_cell,24.9
sample07529,yes,cd8_t_cell,30.28
sample07551,yes,cd8_t_cell,22.2
sample07552,yes,cd8_t_cell,30.95
sample07553,yes,cd8_t_cell,20.33
sample07560,yes,cd8_t_cell,30.69
sample07561,yes,cd8_t_cell,30.67
sample07562,yes,cd8_t_cell,36.13
sample07575,yes,cd8_t_cell,18.74
sample07576,yes,cd8_t_cell,23.84
sample07577,yes,cd8_t_cell,27.61
sample07587,yes,cd8_t_cell,26.56
sample07588,yes,cd8_t_cell,31.54
sample07589,yes,cd8_t_cell,21.97
sample07593,yes,cd8_t_cell,24.33
sample07594,yes,cd8_t_cell,17.03
sample07595,yes,cd8_t_cell,16.6
sample07614,yes,cd8_t_cell,27.3
sample07615,yes,cd8_t_cell,16.22
sample07616,yes,cd8_t_cell,26.37
sample07647,yes,cd8_t_cell,21.36
sample07648,yes,cd8_t_cell,25.1
sample07649,yes,cd8_t_cell,18.91
sample07665,yes,cd8_t_cell,32.04
sample07666,yes,cd8_t_cell,33.29
sample07667,yes,cd8_t_cell,23.12
sample07725,yes,cd8_t_cell,11.65
sample07726,yes,cd8_t_cell,25.67
sample07727,yes,cd8_t_cell,23.1
sample07761,yes,cd8_t_cell,21.44
sample07762,yes,cd8_t_cell,28.82
sample07763,yes,cd8_t_cell,25.26
sample07800,yes,cd8_t_cell,18.77
sample07801,yes,cd8_t_cell,24.32
sample07802,yes,cd8_t_cell,28.44
sample07821,yes,cd8_t_cell,27.59
sample07822,yes,cd8_t_cell,16.53
sample07823,yes,cd8_t_cell,26.05
sample07824,yes,cd8_t_cell,21.7
sample07825,yes,cd8_t_cell,33.46
sample07826,yes,cd8_t_cell,27.2
sample07827,yes,cd8_t_cell,31.78
sample07828,yes,cd8_t_cell,12.64
sample07829,yes,cd8_t_cell,22.5
sample07836,yes,cd8_t_cell,24.15
sample07837,yes,cd8_t_cell,29.93
sample07838,yes,cd8_t_cell,20.61
sample07905,yes,cd8_t_cell,19.63
sample07906,yes,cd8_t_cell,26.42
sample07907,yes,cd8_t_cell,24.94
sample07968,yes,cd8_t_cell,34.35
sample07969,yes,cd8_t_cell,24.9
sample07970,yes,cd8_t_cell,23.55
sample08040,yes,cd8_t_cell,28.47
sample08041,yes,cd8_t_cell,18.01
sample08042,yes,cd8_t_cell,18.28
sample08055,yes,cd8_t_cell,21.44
sample08056,yes,cd8_t_cell,21.04
sample08057,yes,cd8_t_cell,25.61
sample08085,yes,cd8_t_cell,23.9
sample08086,yes,cd8_t_cell,20.63
sample08087,yes,cd8_t_cell,25.59
sample08121,yes,cd8_t_cell,35.67
sample08122,yes,cd8_t_cell,17.07
sample08123,yes,cd8_t_cell,30.5
sample08127,yes,cd8_t_cell,25.61
sample08128,yes,cd8_t_cell,25.83
sample08129,yes,cd8_t_cell,25.87
sample08151,yes,cd8_t_cell,30.48
sample08152,yes,cd8_t_cell,29.55
sample08153,yes,cd8_t_cell,23.88
sample08166,yes,cd8_t_cell,22.61
sample08167,yes,cd8_t_cell,23.64
sample08168,yes,cd8_t_cell,35.1
sample08178,yes,cd8_t_cell,30.63
sample08179,yes,cd8_t_cell,19.79
sample08180,yes,cd8_t_cell,32.91
sample08199,yes,cd8_t_cell,24.54
sample08200,yes,cd8_t_cell,29.05
sample08201,yes,cd8_t_cell,22.69
sample08247,yes,cd8_t_cell,20.8
sample08248,yes,cd8_t_cell,17.31
sample08249,yes,cd8_t_cell,25.42
sample08274,yes,cd8_t_cell,25.8
sample08275,yes,cd8_t_cell,17.49
sample08276,yes,cd8_t_cell,26.23
sample08289,yes,cd8_t_cell,31.84
sample08290,yes,cd8_t_cell,19.28
sample08291,yes,cd8_t_cell,13.44
sample08298,yes,cd8_t_cell,34.55
sample08299,yes,cd8_t_cell,31.6
sample08300,yes,cd8_t_cell,26.34
sample08328,yes,cd8_t_cell,20.82
sample08329,yes,cd8_t_cell,28.44
sample08330,yes,cd8_t_cell,25.19
sample08337,yes,cd8_t_cell,29.43
sample08338,yes,cd8_t_cell,28.58
sample08339,yes,cd8_t_cell,27.8
sample08349,yes,cd8_t_cell,32.76
sample08350,yes,cd8_t_cell,31.2
sample08351,yes,cd8_t_cell,31.94
sample08352,yes,cd8_t_cell,17.58
sample08353,yes,cd8_t_cell,21.95
sample08354,yes,cd8_t_cell,27.54
sample08361,yes,cd8_t_cell,16.87
sample08362,yes,cd8_t_cell,25.9
sample08363,yes,cd8_t_cell,17.64
sample08388,yes,cd8_t_cell,20.53
sample08389,yes,cd8_t_cell,21.53
sample08390,yes,cd8_t_cell,22.48
sample08403,yes,cd8_t_cell,24.11
sample08404,yes,cd8_t_cell,19.15
sample08405,yes,cd8_t_cell,19.85
sample08442,yes,cd8_t_cell,28.09
sample08443,yes,cd8_t_cell,23.18
sample08444,yes,cd8_t_cell,26.51
sample08466,yes,cd8_t_cell,24.24
sample08467,yes,cd8_t_cell,20.67
sample08468,yes,cd8_t_cell,22.52
sample08481,yes,cd8_t_cell,30.56
sample08482,yes,cd8_t_cell,16.38
sample08483,yes,cd8_t_cell,22.02
sample08568,yes,cd8_t_cell,19.92
sample08569,yes,cd8_t_cell,18.71
sample08570,yes,cd8_t_cell,34.18
sample08583,yes,cd8_t_cell,27.79
sample08584,yes,cd8_t_cell,18.45
sample08585,yes,cd8_t_cell,28.52
sample08595,yes,cd8_t_cell,24.72
sample08596,yes,cd8_t_cell,24.28
sample08597,yes,cd8_t_cell,31.3
sample08610,yes,cd8_t_cell,21.54
sample08611,yes,cd8_t_cell,19.6
sample08612,yes,cd8_t_cell,32.05
sample08655,yes,cd8_t_cell,19.49
sample08656,yes,cd8_t_cell,31.0
sample08657,yes,cd8_t_cell,18.07
sample08685,yes,cd8_t_cell,27.43
sample08686,yes,cd8_t_cell,31.91
sample08687,yes,cd8_t_cell,35.46
sample08706,yes,cd8_t_cell,25.29
sample08707,yes,cd8_t_cell,22.24
sample08708,yes,cd8_t_cell,27.37
sample08718,yes,cd8_t_cell,23.13
sample08719,yes,cd8_t_cell,30.31
sample08720,yes,cd8_t_cell,18.59
sample08724,yes,cd8_t_cell,22.15
sample08725,yes,cd8_t_cell,26.88
sample08726,yes,cd8_t_cell,26.4
sample08769,yes,cd8_t_cell,20.29
sample08770,yes,cd8_t_cell,26.35
sample08771,yes,cd8_t_cell,19.45
sample08781,yes,cd8_t_cell,30.11
sample08782,yes,cd8_t_cell,29.71
sample08783,yes,cd8_t_cell,28.01
sample08829,yes,cd8_t_cell,20.98
sample08830,yes,cd8_t_cell,16.56
sample08831,yes,cd8_t_cell,25.12
sample08832,yes,cd8_t_cell,28.41
sample08833,yes,cd8_t_cell,20.25
sample08834,yes,cd8_t_cell,27.03
sample08853,yes,cd8_t_cell,32.26
sample08854,yes,cd8_t_cell,28.29
sample08855,yes,cd8_t_cell,26.9
sample08856,yes,cd8_t_cell,23.03
sample08857,yes,cd8_t_cell,28.94
sample08858,yes,cd8_t_cell,30.03
sample08895,yes,cd8_t_cell,27.44
sample08896,yes,cd8_t_cell,30.06
sample08897,yes,cd8_t_cell,20.95
sample08913,yes,cd8_t_cell,29.54
sample08914,yes,cd8_t_cell,27.06
sample08915,yes,cd8_t_cell,23.26
sample08925,yes,cd8_t_cell,17.36
sample08926,yes,cd8_t_cell,34.78
sample08927,yes,cd8_t_cell,25.65
sample08943,yes,cd8_t_cell,26.59
sample08944,yes,cd8_t_cell,18.35
sample08945,yes,cd8_t_cell,24.4
sample08946,yes,cd8_t_cell,24.33
sample08947,yes,cd8_t_cell,32.3
sample08948,yes,cd8_t_cell,25.45
sample08970,yes,cd8_t_cell,24.53
sample08971,yes,cd8_t_cell,21.03
sample08972,yes,cd8_t_cell,26.41
sample08979,yes,cd8_t_cell,27.7
sample08980,yes,cd8_t_cell,22.79
sample08981,yes,cd8_t_cell,23.24
sample09009,yes,cd8_t_cell,27.69
sample09010,yes,cd8_t_cell,19.73
sample09011,yes,cd8_t_cell,26.94
sample09018,yes,cd8_t_cell,20.43
sample09019,yes,cd8_t_cell,25.79
sample09020,yes,cd8_t_cell,37.51
sample09024,yes,cd8_t_cell,20.1
sample09025,yes,cd8_t_cell,21.42
sample09026,yes,cd8_t_cell,20.07
sample09072,yes,cd8_t_cell,19.85
sample09073,yes,cd8_t_cell,24.14
sample09074,yes,cd8_t_cell,22.4
sample09081,yes,cd8_t_cell,27.38
sample09082,yes,cd8_t_cell,26.25
sample09083,yes,cd8_t_cell,20.2
sample09087,yes,cd8_t_cell,26.25
sample09088,yes,cd8_t_cell,27.6
sample09089,yes,cd8_t_cell,21.22
sample09102,yes,cd8_t_cell,28.1
sample09103,yes,cd8_t_cell,39.41
sample09104,yes,cd8_t_cell,27.37
sample09114,yes,cd8_t_cell,23.89
sample09115,yes,cd8_t_cell,21.48
sample09116,yes,cd8_t_cell,26.29
sample09129,yes,cd8_t_cell,13.52
sample09130,yes,cd8_t_cell,19.76
sample09131,yes,cd8_t_cell,25.61
sample09144,yes,cd8_t_cell,29.73
sample09145,yes,cd8_t_cell,26.48
sample09146,yes,cd8_t_cell,35.2
sample09162,yes,cd8_t_cell,26.82
sample09163,yes,cd8_t_cell,24.75
sample09164,yes,cd8_t_cell,16.69
sample09171,yes,cd8_t_cell,27.7
sample09172,yes,cd8_t_cell,33.38
sample09173,yes,cd8_t_cell,25.06
sample09180,yes,cd8_t_cell,24.88
sample09181,yes,cd8_t_cell,18.32
sample09182,yes,cd8_t_cell,18.27
sample09198,yes,cd8_t_cell,28.61
sample09199,yes,cd8_t_cell,26.71
sample09200,yes,cd8_t_cell,22.91
sample09243,yes,cd8_t_cell,27.03
sample09244,yes,cd8_t_cell,23.28
sample09245,yes,cd8_t_cell,24.79
sample09300,yes,cd8_t_cell,33.6
sample09301,yes,cd8_t_cell,21.58
sample09302,yes,cd8_t_cell,28.55
sample09390,yes,cd8_t_cell,20.78
sample09391,yes,cd8_t_cell,24.12
sample09392,yes,cd8_t_cell,31.06
sample09393,yes,cd8_t_cell,25.58
sample09394,yes,cd8_t_cell,21.88
sample09395,yes,cd8_t_cell,29.0
sample09441,yes,cd8_t_cell,30.5
sample09442,yes,cd8_t_cell,30.68
sample09443,yes,cd8_t_cell,25.44
sample09450,yes,cd8_t_cell,28.13
sample09451,yes,cd8_t_cell,24.44
sample09452,yes,cd8_t_cell,16.27
sample09459,yes,cd8_t_cell,25.44
sample09460,yes,cd8_t_cell,19.92
sample09461,yes,cd8_t_cell,28.97
sample09468,yes,cd8_t_cell,19.62
sample09469,yes,cd8_t_cell,24.21
sample09470,yes,cd8_t_cell,18.31
sample09486,yes,cd8_t_cell,19.46
sample09487,yes,cd8_t_cell,22.08
sample09488,yes,cd8_t_cell,27.63
sample09489,yes,cd8_t_cell,27.33
sample09490,yes,cd8_t_cell,26.86
sample09491,yes,cd8_t_cell,25.57
sample09495,yes,cd8_t_cell,26.11
sample09496,yes,cd8_t_cell,18.85
sample09497,yes,cd8_t_cell,24.92
sample09513,yes,cd8_t_cell,27.36
sample09514,yes,cd8_t_cell,26.7
sample09515,yes,cd8_t_cell,29.62
sample09519,yes,cd8_t_cell,28.48
sample09520,yes,cd8_t_cell,19.3
sample09521,yes,cd8_t_cell,26.61
sample09546,yes,cd8_t_cell,22.93
sample09547,yes,cd8_t_cell,27.67
sample09548,yes,cd8_t_cell,24.15
sample09573,yes,cd8_t_cell,25.92
sample09574,yes,cd8_t_cell,25.43
sample09575,yes,cd8_t_cell,27.92
sample09579,yes,cd8_t_cell,22.31
sample09580,yes,cd8_t_cell,24.68
sample09581,yes,cd8_t_cell,23.96
sample09582,yes,cd8_t_cell,28.08
sample09583,yes,cd8_t_cell,19.33
sample09584,yes,cd8_t_cell,23.82
sample09591,yes,cd8_t_cell,28.1
sample09592,yes,cd8_t_cell,28.7
sample09593,yes,cd8_t_cell,17.8
sample09597,yes,cd8_t_cell,18.96
sample09598,yes,cd8_t_cell,24.92
sample09599,yes,cd8_t_cell,22.5
sample09606,yes,cd8_t_cell,15.81
sample09607,yes,cd8_t_cell,36.01
sample09608,yes,cd8_t_cell,29.82
sample09612,yes,cd8_t_cell,23.66
sample09613,yes,cd8_t_cell,24.12
sample09614,yes,cd8_t_cell,21.77
sample09615,yes,cd8_t_cell,31.82
sample09616,yes,cd8_t_cell,22.24
sample09617,yes,cd8_t_cell,27.7
sample09666,yes,cd8_t_cell,24.81
sample09667,yes,cd8_t_cell,24.29
sample09668,yes,cd8_t_cell,22.74
sample09690,yes,cd8_t_cell,34.78
sample09691,yes,cd8_t_cell,17.94
sample09692,yes,cd8_t_cell,25.19
sample09699,yes,cd8_t_cell,32.42
sample09700,yes,cd8_t_cell,27.02
sample09701,yes,cd8_t_cell,30.5
sample09705,yes,cd8_t_cell,24.94
sample09706,yes,cd8_t_cell,30.31
sample09707,yes,cd8_t_cell,25.2
sample09720,yes,cd8_t_cell,22.26
sample09721,yes,cd8_t_cell,25.26
sample09722,yes,cd8_t_cell,24.93
sample09783,yes,cd8_t_cell,21.33
sample09784,yes,cd8_t_cell,22.91
sample09785,yes,cd8_t_cell,21.51
sample09798,yes,cd8_t_cell,31.9
sample09799,yes,cd8_t_cell,22.9
sample09800,yes,cd8_t_cell,26.14
sample09909,yes,cd8_t_cell,15.79
sample09910,yes,cd8_t_cell,20.62
sample09911,yes,cd8_t_cell,22.83
sample09924,yes,cd8_t_cell,21.44
sample09925,yes,cd8_t_cell,29.67
sample09926,yes,cd8_t_cell,19.53
sample09963,yes,cd8_t_cell,22.11
sample09964,yes,cd8_t_cell,29.98
sample09965,yes,cd8_t_cell,24.76
sample09978,yes,cd8_t_cell,27.64
sample09979,yes,cd8_t_cell,24.26
sample09980,yes,cd8_t_cell,24.23
sample09990,yes,cd8_t_cell,17.03
sample09991,yes,cd8_t_cell,18.11
sample09992,yes,cd8_t_cell,28.63
sample09996,yes,cd8_t_cell,25.82
sample09997,yes,cd8_t_cell,26.85
sample09998,yes,cd8_t_cell,21.39
sample10038,yes,cd8_t_cell,21.23
sample10039,yes,cd8_t_cell,24.63
sample10040,yes,cd8_t_cell,34.02
sample10041,yes,cd8_t_cell,24.41
sample10042,yes,cd8_t_cell,16.2
sample10043,yes,cd8_t_cell,19.41
sample10095,yes,cd8_t_cell,19.05
sample10096,yes,cd8_t_cell,27.84
sample10097,yes,cd8_t_cell,30.32
sample10116,yes,cd8_t_cell,26.03
sample10117,yes,cd8_t_cell,17.12
sample10118,yes,cd8_t_cell,40.17
sample10125,yes,cd8_t_cell,17.61
sample10126,yes,cd8_t_cell,22.73
sample10127,yes,cd8_t_cell,19.51
sample10128,yes,cd8_t_cell,30.89
sample10129,yes,cd8_t_cell,28.76
sample10130,yes,cd8_t_cell,22.95
sample10131,yes,cd8_t_cell,23.92
sample10132,yes,cd8_t_cell,18.55
sample10133,yes,cd8_t_cell,27.12
sample10140,yes,cd8_t_cell,19.62
sample10141,yes,cd8_t_cell,23.67
sample10142,yes,cd8_t_cell,19.33
sample10179,yes,cd8_t_cell,21.56
sample10180,yes,cd8_t_cell,25.52
sample10181,yes,cd8_t_cell,28.89
sample10197,yes,cd8_t_cell,39.81
sample10198,yes,cd8_t_cell,22.84
sample10199,yes,cd8_t_cell,20.24
sample10233,yes,cd8_t_cell,33.79
sample10234,yes,cd8_t_cell,20.76
sample10235,yes,cd8_t_cell,33.32
sample10248,yes,cd8_t_cell,23.81
sample10249,yes,cd8_t_cell,26.58
sample10250,yes,cd8_t_cell,24.02
sample10323,yes,cd8_t_cell,22.09
sample10324,yes,cd8_t_cell,17.27
sample10325,yes,cd8_t_cell,22.68
sample10335,yes,cd8_t_cell,31.72
sample10336,yes,cd8_t_cell,24.75
sample10337,yes,cd8_t_cell,23.59
sample10341,yes,cd8_t_cell,26.32
sample10342,yes,cd8_t_cell,29.14
sample10343,yes,cd8_t_cell,20.68
sample10347,yes,cd8_t_cell,19.36
sample10348,yes,cd8_t_cell,27.72
sample10349,yes,cd8_t_cell,20.38
sample10356,yes,cd8_t_cell,24.41
sample10357,yes,cd8_t_cell,19.31
sample10358,yes,cd8_t_cell,30.01
sample10383,yes,cd8_t_cell,34.67
sample10384,yes,cd8_t_cell,30.96
sample10385,yes,cd8_t_cell,19.84
sample10386,yes,cd8_t_cell,22.27
sample10387,yes,cd8_t_cell,32.31
sample10388,yes,cd8_t_cell,22.79
sample10392,yes,cd8_t_cell,16.77
sample10393,yes,cd8_t_cell,24.49
sample10394,yes,cd8_t_cell,21.42
sample10410,yes,cd8_t_cell,21.58
sample10411,yes,cd8_t_cell,28.03
sample10412,yes,cd8_t_cell,18.76
sample10443,yes,cd8_t_cell,23.28
sample10444,yes,cd8_t_cell,27.05
sample10445,yes,cd8_t_cell,24.42
sample10491,yes,cd8_t_cell,21.43
sample10492,yes,cd8_t_cell,27.96
sample10493,yes,cd8_t_cell,25.67
sample00000,no,monocyte,25.22
sample00001,no,monocyte,22.82
sample00002,no,monocyte,19.75
sample00006,no,monocyte,21.65
sample00007,no,monocyte,18.32
sample00008,no,monocyte,18.13
sample00009,no,monocyte,16.36
sample00010,no,monocyte,29.68
sample00011,no,monocyte,18.37
sample00072,no,monocyte,20.62
sample00073,no,monocyte,18.65
sample00074,no,monocyte,12.14
sample00081,no,monocyte,20.29
sample00082,no,monocyte,17.1
sample00083,no,monocyte,19.86
sample00123,no,monocyte,18.88
sample00124,no,monocyte,21.48
sample00125,no,monocyte,14.1
sample00153,no,monocyte,15.98
sample00154,no,monocyte,15.01
sample00155,no,monocyte,13.82
sample00174,no,monocyte,14.83
sample00175,no,monocyte,21.33
sample00176,no,monocyte,27.33
sample00186,no,monocyte,19.16
sample00187,no,monocyte,22.67
sample00188,no,monocyte,20.48
sample00189,no,monocyte,19.48
sample00190,no,monocyte,25.31
sample00191,no,monocyte,18.95
sample00213,no,monocyte,15.22
sample00214,no,monocyte,24.46
sample00215,no,monocyte,21.23
sample00243,no,monocyte,21.25
sample00244,no,monocyte,17.52
sample00245,no,monocyte,24.21
sample00249,no,monocyte,19.64
sample00250,no,monocyte,22.81
sample00251,no,monocyte,25.1
sample00285,no,monocyte,17.04
sample00286,no,monocyte,24.87
sample00287,no,monocyte,17.62
sample00402,no,monocyte,27.25
sample00403,no,monocyte,24.75
sample00404,no,monocyte,18.44
sample00411,no,monocyte,22.18
sample00412,no,monocyte,21.58
sample00413,no,monocyte,17.67
sample00414,no,monocyte,25.61
sample00415,no,monocyte,26.21
sample00416,no,monocyte,21.11
sample00435,no,monocyte,19.17
sample00436,no,monocyte,23.98
sample00437,no,monocyte,20.76
sample00459,no,monocyte,17.97
sample00460,no,monocyte,18.81
sample00461,no,monocyte,16.6
sample00465,no,monocyte,17.79
sample00466,no,monocyte,21.58
sample00467,no,monocyte,24.98
sample00471,no,monocyte,20.71
sample00472,no,monocyte,20.13
sample00473,no,monocyte,18.83
sample00480,no,monocyte,20.77
sample00481,no,monocyte,18.09
sample00482,no,monocyte,23.49
sample00492,no,monocyte,17.5
sample00493,no,monocyte,27.69
sample00494,no,monocyte,22.31
sample00513,no,monocyte,15.13
sample00514,no,monocyte,10.32
sample00515,no,monocyte,18.6
sample00516,no,monocyte,19.66
sample00517,no,monocyte,18.52
sample00518,no,monocyte,15.2
sample00522,no,monocyte,19.51
sample00523,no,monocyte,23.65
sample00524,no,monocyte,17.09
sample00534,no,monocyte,21.46
sample00535,no,monocyte,14.3
sample00536,no,monocyte,22.28
sample00585,no,monocyte,14.22
sample00586,no,monocyte,22.36
sample00587,no,monocyte,21.14
sample00588,no,monocyte,20.72
sample00589,no,monocyte,22.34
sample00590,no,monocyte,19.74
sample00624,no,monocyte,13.68
sample00625,no,monocyte,20.24
sample00626,no,monocyte,19.15
sample00639,no,monocyte,22.48
sample00640,no,monocyte,20.28
sample00641,no,monocyte,23.8
sample00693,no,monocyte,14.12
sample00694,no,monocyte,26.86
sample00695,no,monocyte,21.0
sample00696,no,monocyte,20.93
sample00697,no,monocyte,20.22
sample00698,no,monocyte,23.77
sample00717,no,monocyte,23.67
sample00718,no,monocyte,12.23
sample00719,no,monocyte,22.21
sample00726,no,monocyte,19.34
sample00727,no,monocyte,24.63
sample00728,no,monocyte,21.65
sample00756,no,monocyte,26.57
sample00757,no,monocyte,22.04
sample00758,no,monocyte,15.83
sample00798,no,monocyte,16.88
sample00799,no,monocyte,16.57
